"id","n","tipo"
"Botero de Molina, Tila",4,"Persona"
"Botero Echeverri, Manuel",3,"Persona"
"Botero García, Emiro",1,"Persona"
"Botero Guerra, Camilo",8,"Persona"
"Botero I., Darío",1,"Persona"
"Botero Isaza, Horacio",4,"Persona"
"Botero Jiménez, Alberto",1,"Persona"
"Botero M., David",2,"Persona"
"Botero Ruiz, Juan José",14,"Persona"
"Botero Saldarriaga, Roberto",5,"Persona"
"Botero, Abel",3,"Persona"
"Botero, Francisco",21,"Persona"
"Botero, Rafael",3,"Persona"
"Bouet, Carlos",1,"Persona"
"Bouhours, FL.",1,"Persona"
"Bouret, Alonso",1,"Persona"
"Bourget, Paul",6,"Persona"
"Bracamonte, Ginés de",1,"Persona"
"Bravo Duarte, Maruca",3,"Persona"
"Bravo Márquez, Ricardo",2,"Persona"
"Bravo Nicholls, Rita",1,"Persona"
"Bravo, Amadeo",1,"Persona"
"Bravo, Juan de Dios",1,"Persona"
"Breen, M.",1,"Persona"
"Brettes, Joseph de",4,"Persona"
"Briand, Aristide",1,"Persona"
"Briceño, Magota",1,"Persona"
"Briceño, Manuel",2,"Persona"
"Brisay, Henry de",2,"Persona"
"Brito, Aníbal",2,"Persona"
"Brooks, Adam",1,"Persona"
"Brossa, Jaime",3,"Persona"
"Brull, Mariano",1,"Persona"
"Bueno, Manuel",1,"Persona"
"Bunau-Varilla, Philippe",1,"Persona"
"Bunker, George C.",1,"Persona"
"Burgos Vega, Carlos",1,"Persona"
"Burgos, Juan de",1,"Persona"
"Burgos, Rafael",1,"Persona"
"Burns, Robert",1,"Persona"
"Burton, Francis",1,"Persona"
"Bustamante, Francisco de",1,"Persona"
"Butler Loomis, Francis",1,"Persona"
"Buzzi, Paolo",1,"Persona"
"Byron, George Gordon",2,"Persona"
"C.",2,"Persona"
"C. G. A.",1,"Persona"
"C. M.",1,"Persona"
"C. M. A.",1,"Persona"
"C. R. M de I.",1,"Persona"
"Caballero, Lucas",1,"Persona"
"Cabello de Carbonera, Mercedes",2,"Persona"
"Cabo, Ignacio",1,"Persona"
"Cabrera, Raimundo",1,"Persona"
"Cadavid Restrepo, Tomás",9,"Persona"
"Cadavid Uribe, Alfonso",3,"Persona"
"Cadavid Uribe, Lorenzo",1,"Persona"
"Cadenas, José Juan",1,"Persona"
"Caicedo Rojas, José",5,"Persona"
"Calcaño, Eduardo",2,"Persona"
"Calcaño, José Antonio",3,"Persona"
"Calcaño, Julio",4,"Persona"
"Caldas, Francisco José de",1,"Persona"
"Calderón de la Barca, Pedro",1,"Persona"
"Calderón, Luis Eduardo",2,"Persona"
"Calderón, Tomás",1,"Persona"
"Calle, Benjamín de la",21,"Persona"
"Calle, Miguel María",1,"Persona"
"Calvo, Luis Antonio",1,"Persona"
"Camacho Ramírez, Arturo",5,"Persona"
"Camacho Roldán, Miguel",1,"Persona"
"Camacho Roldán, Salvador",3,"Persona"
"Camacho, Fabio",1,"Persona"
"Camacho, Martín",1,"Persona"
"Camín, Alfonso",1,"Persona"
"Campbell, Patrick",3,"Persona"
"Campillo M., Ricardo",1,"Persona"
"Campo, Álvaro del",1,"Persona"
"Campo, Carlos del",1,"Persona"
"Campo, Diego Martín del",1,"Persona"
"Campoamor, Ramón de",7,"Persona"
"Campuzano S., F. Luis",1,"Persona"
"Canals y Vilaró, Salvador ",1,"Persona"
"Cancio Tobón, Juan",3,"Persona"
"Canizales, José David",3,"Persona"
"Cano Gutiérrez, Fidel",25,"Persona"
"Cano Isaza, F.",1,"Persona"
"Cano Villegas, Gabriel",4,"Persona"
"Cano, Albán",2,"Persona"
"Cano, Antonio José",40,"Persona"
"Cano, Francisco Antonio",65,"Persona"
"Cano, Luis",16,"Persona"
"Cano, María",20,"Persona"
"Cantillo, Liborio D.",1,"Persona"
"Cantó Vilaplana, Gonzalo",1,"Persona"
"Cañas, Juan José",1,"Persona"
"Cañete, Manuel",1,"Persona"
"Caparroso, Carlos Arturo",1,"Persona"
"Capitán Feyler",1,"Persona"
"Capuana, Luigi",1,"Persona"
"Capus, Rafael",1,"Persona"
"Carbonell, Diego",1,"Persona"
"Carbonell, Gonzalo",1,"Persona"
"Cárdenas de Molina, Ana",1,"Persona"
"Cárdenas Roa, María",1,"Persona"
"Cárdenas, Bernardino",1,"Persona"
"Cardona Santa, Francisco",2,"Persona"
"Carducci, Giosuè",13,"Persona"
"Carlo, Adelia di",1,"Persona"
"Carlyle, Thomas",1,"Persona"
"Carner, Josep",1,"Persona"
"Carnot, F.",1,"Persona"
"Caro, José Eusebio",17,"Persona"
"Caro, Luis Alejandro",1,"Persona"
"Caro, Miguel Antonio",11,"Persona"
"Caro, Víctor Eduardo",2,"Persona"
"Carrà, Carlo",1,"Persona"
"Carranza, Adolfo Pedro",1,"Persona"
"Carranza, Eduardo",9,"Persona"
"Carrasquilla Botero, Juan",1,"Persona"
"Carrasquilla L., Juan de Dios",4,"Persona"
"Carrasquilla Mallarino, Eduardo",1,"Persona"
"Carrasquilla, Rafael María",1,"Persona"
"Carrasquilla, Ricardo",1,"Persona"
"Carrasquilla, Tomás",39,"Persona"
"Carreño, Pedro M.",1,"Persona"
"Carrere Moreno, Emilio",4,"Persona"
"Carretero Novillo, José María",1,"Persona"
"Carricarte, Arturo R. de",1,"Persona"
"Carriego, Evaristo",3,"Persona"
"Carrieri, Giuseppe",1,"Persona"
"Carrillo, Alfonso",1,"Persona"
"Carrillo, Enrique A.",5,"Persona"
"Carrión, J. R.",1,"Persona"
"Carrión, Luis",2,"Persona"
"Caruso, Enrico",2,"Persona"
"Carvajal Borrero, Mario",16,"Persona"
"Carvajal Quintero, Filiberto",8,"Persona"
"Carvajal, Alberto",6,"Persona"
"Carvajal, Manuel Antonio",17,"Persona"
"Carvajal, Mario",4,"Persona"
"Casal, Julián del",2,"Persona"
"Casandra",1,"Persona"
"Casas Castañeda, José Joaquín",4,"Persona"
"Casas Castañeda, Vicente",1,"Persona"
"Casas, Pablo I.",1,"Persona"
"Castanier, Prosper",1,"Persona"
"Castañeda Aragón, Gregorio",13,"Persona"
"Castañeda, Manuelito",1,"Persona"
"Castañeda, Tobías",1,"Persona"
"Castelar, Emilio",4,"Persona"
"Castell, Ángel María",1,"Persona"
"Castello, Carlos",4,"Persona"
"Castello, Manuel",1,"Persona"
"Castellón, José",3,"Persona"
"Castilla Baena, Clodomiro",1,"Persona"
"Castillo y Guevara, Francisca Josefa de la Concepción del",1,"Persona"
"Castillo, Eduardo",8,"Persona"
"Castillo, Gustavo del",1,"Persona"
"Castillo, José Vicente",1,"Persona"
"Castoldi, María",1,"Persona"
"Castro Leal, Antonio",1,"Persona"
"Castro y Serrano, José de",1,"Persona"
"Castro, Alfonso",51,"Persona"
"Castro, Cristóbal de",1,"Persona"
"Castro, Eugenio de",12,"Persona"
"Castro, Gabriel",2,"Persona"
"Castro, Rosalía de",2,"Persona"
"Catalina, Severo",1,"Persona"
"Catarineu, Ricardo José",1,"Persona"
"Catón, Pio",3,"Persona"
"Cavacchioli, Enrico",1,"Persona"
"Cavia, Pilar de",2,"Persona"
"Ceballos Quintana, Enrique",2,"Persona"
"Ceballos Uribe, Bernardo",7,"Persona"
"Cervantes Saavedra, Miguel de",1,"Persona"
"Cervantes, Edmundo",1,"Persona"
"Cervantes, Próspero",1,"Persona"
"Cervera, Manuel",4,"Persona"
"Céspedes, Ángel María",6,"Persona"
"Cestero, Tulio Manuel",3,"Persona"
"Chalarca, Antoño",1,"Persona"
"Champeau, Edmond",1,"Persona"
"Chantal, Susana",1,"Persona"
"Charry Lara, Fernando",11,"Persona"
"Charton, Ernest",1,"Persona"
"Chaumeix, André",1,"Persona"
"Chaux, Simón",1,"Persona"
"Chavarriaga R., Emiro A.",1,"Persona"
"Chaves Cuervo, Humberto",6,"Persona"
"Chaves, Francisco",1,"Persona"
"Chaves, J.R.",1,"Persona"
"Chávez Franco, Ignacio",1,"Persona"
"Chejov, Anton Pavlovich",1,"Persona"
"Chen, Jitong",1,"Persona"
"Chénier, André",1,"Persona"
"Chocano, José Santos",5,"Persona"
"Cifuentes R., Manuel",1,"Persona"
"Cifuentes, Santos",1,"Persona"
"Cigarron",1,"Persona"
"Clapiers, Luc de",1,"Persona"
"Clara María",4,"Persona"
"Claretie, Jules",4,"Persona"
"Claretie, Léo",1,"Persona"
"Claussen, Sophus",1,"Persona"
"Clavijo Durán, Antonio",1,"Persona"
"Cobos, N.",1,"Persona"
"Cobos, Tristán",1,"Persona"
"Cock Arango, Alfredo",2,"Persona"
"Cock Quevedo, Lucía",1,"Persona"
"Cognetti, Leonardo M.",2,"Persona"
"Colama y Galcerán, Juan de",1,"Persona"
"Colín, Eduardo",2,"Persona"
"Coll, Pedro Emilio",4,"Persona"
"Collante de Tapia, Lola",1,"Persona"
"Collas, Louis-Charles",1,"Persona"
"Colmo, Alfredo",4,"Persona"
"Cólogan y Cólogan, Bernardo Jacinto de",1,"Persona"
"Coloma, Luis",2,"Persona"
"Colombia, Congreso de",2,"Persona"
"Colombiano",1,"Persona"
"Colorado, Vicente",1,"Persona"
"Comert, Marguerite",1,"Persona"
"Condal, Gustavo",1,"Persona"
"Consuegra, Manuel S.",1,"Persona"
"Conte, Juan B.",1,"Persona"
"Contreras Daza, Antonio J.",3,"Persona"
"Contreras Daza, Elvira",3,"Persona"
"Contreras Valenzuela, Francisco",1,"Persona"
"Contreras, Francisco",1,"Persona"
"Contreras, Luis Eladio",1,"Persona"
"Cooke, John Esten",1,"Persona"
"Coppée, François",7,"Persona"
"Coradine, Alberto",2,"Persona"
"Córdova Muñoz, José María",1,"Persona"
"Cordovez Moure, José María",4,"Persona"
"Corela, Hugo",5,"Persona"
"Coromina, Antonio",1,"Persona"
"Corral, Jesús M. del",6,"Persona"
"Corral, Luis del",1,"Persona"
"Corral, M. Antonio del",1,"Persona"
"Corral, Rafael del",2,"Persona"
"Corrales, Nora",4,"Persona"
"Correa",2,"Persona"
"Correa Arango, Iván",1,"Persona"
"Correa J., Bernardo",1,"Persona"
"Correa V., Eduardo",1,"Persona"
"Correa, Domingo",1,"Persona"
"Correa, E. A.",1,"Persona"
"Correa, F.",8,"Persona"
"Correa, Fidel",3,"Persona"
"Correa, Luis F.",3,"Persona"
"Correa, Ramón",4,"Persona"
"Cortadillo",1,"Persona"
"Cortázar, Roberto",1,"Persona"
"Cortés R., Jorge",1,"Persona"
"Cortés, Narciso Alonso",1,"Persona"
"Covarrubias, Manuel",2,"Persona"
"Creppi, C. E.",1,"Persona"
"Creta, Ruy de",1,"Persona"
"Creus, E. S.",2,"Persona"
"Cromer, Lord",2,"Persona"
"Crooy, Amédée",2,"Persona"
"Cruz, Efraím de la",2,"Persona"
"Cruz, Jorge de la",9,"Persona"
"Cruz, Jorge E.",1,"Persona"
"Cruz, Juana Inés de la",1,"Persona"
"Cruz, Mario de la",1,"Persona"
"Cuartas V., Aníbal",1,"Persona"
"Cuéllar Durán, Zoilo",1,"Persona"
"Cuervo Márquez, Carlos",6,"Persona"
"Cuervo Márquez, Emilio",248,"Persona"
"Cuervo, Luis Augusto",4,"Persona"
"Cuervo, Rufino José",5,"Persona"
"Cuesta B., Víctor de la",1,"Persona"
"Cunninghame Graham, Robert Bontie",21,"Persona"
"D'Annunzio, Gabriele",21,"Persona"
"D'Avenel, Vizconde",1,"Persona"
"D'Enjoÿ, Paul",1,"Persona"
"D'Hervilly, Ernest",1,"Persona"
"D'Orleans, Luis",1,"Persona"
"D'Ors, Eugenio",13,"Persona"
"D.",5,"Persona"
"D’Sola, Juan",1,"Persona"
"Dahlgren, E. N.",1,"Persona"
"Darío, Rubén",20,"Persona"
"Daubney, William Heaford",1,"Persona"
"Daudet, Alphonse",8,"Persona"
"Dávila Florez, Manuel",1,"Persona"
"Dávila, Alfonso",5,"Persona"
"Davray, Henry-D.",1,"Persona"
"De Kay, John Wesley",1,"Persona"
"Dearmer, Geofrey",1,"Persona"
"Dekker, Eduard Douwes",2,"Persona"
"Delegación de Colombia en la Conferencia Internacional de la Paz en La Haya en 1907",1,"Persona"
"Delgado, Jorge E.",4,"Persona"
"Delgado, Juan B.",1,"Persona"
"Delgado, Julio E.",1,"Persona"
"Deschanel, Paul Eugène Louis",1,"Persona"
"Deslys, Charles",3,"Persona"
"Desroix, Jacques",1,"Persona"
"Déubel, Leon",1,"Persona"
"Dias",2,"Persona"
"Díaz de Escobar, Narciso",1,"Persona"
"Díaz del Castillo, Ildefonso",1,"Persona"
"Díaz Guerra, Alirio",1,"Persona"
"Díaz Mirón, Salvador",1,"Persona"
"Díaz Rodríguez, Manuel",2,"Persona"
"Díaz Romero, Eugenio",3,"Persona"
"Díaz, Gerardo",1,"Persona"
"Díaz, Leopoldo",6,"Persona"
"Díaz, Luis",1,"Persona"
"Díaz, Pedro Pablo",1,"Persona"
"Díaz, Ruy",1,"Persona"
"Dicenta, Joaquín",9,"Persona"
"Dickinson, Goldsworthy Lowes",1,"Persona"
"Díez Canedo, Enrique",3,"Persona"
"Díez Canedo, Manuel",1,"Persona"
"Díez Ll., Berta",1,"Persona"
"Diuribía, Marcel",1,"Persona"
"Doctor Stockmann",3,"Persona"
"Domingo Siete",2,"Persona"
"Dominici, Pedro César",5,"Persona"
"Don Hilario",1,"Persona"
"Don Sincero",1,"Persona"
"Don Tancredo",2,"Persona"
"Donado, Rafael Ángel",1,"Persona"
"Donato Navarro, Manuel",2,"Persona"
"Doria, Dora",1,"Persona"
"Dorn y de Alsúa, Enrique",1,"Persona"
"Dos Passos, John",1,"Persona"
"Douglas, James",4,"Persona"
"Drago, Luis María",3,"Persona"
"Dumas, Joël",1,"Persona"
"Dunsany, Edward John Moreton Drax Plunkett",4,"Persona"
"Duperly, Oscar",15,"Persona"
"Dupin de Dudevant, Amantine-Aurore-Lucile",1,"Persona"
"Duque Bernal, Augusto",18,"Persona"
"Duque Bernal, Mario",2,"Persona"
"Duque Estrada, Gilberto",11,"Persona"
"Duque Uribe, Rafael",15,"Persona"
"Duque, Antonio de J.",25,"Persona"
"Duque, C.",1,"Persona"
"Duque, Hernando",3,"Persona"
"Duque, Vicente",3,"Persona"
"Dvaipayana, Rechi-krishma",1,"Persona"
"Dwinger, Edwin Erich",1,"Persona"
"Dymón",1,"Persona"
"E. y J.",1,"Persona"
"E.R.",1,"Persona"
"E.V.",1,"Persona"
"Eastman Calderón, Haydeé",1,"Persona"
"Eastman, María",3,"Persona"
"Eastman, Tomás Oziel",4,"Persona"
"Eça de Queirós, José Maria",5,"Persona"
"Echagüe, Francisco",1,"Persona"
"Echavarría Vélez, Liborio",1,"Persona"
"Echavarría, J.",2,"Persona"
"Echegaray, José",1,"Persona"
"Echegorri, P.",1,"Persona"
"Echeverri Abad, Luis Guillermo",2,"Persona"
"Echeverri Duque, Jesús",1,"Persona"
"Echeverri, Camilo Antonio",16,"Persona"
"Echeverría, Eduardo",4,"Persona"
"Echeverría, Marcelino",2,"Persona"
"EDOS",1,"Persona"
"Edwards Mac-clure, Agustín",1,"Persona"
"Efe y Jota",3,"Persona"
"El Domingo (periódico)",1,"Persona"
"El Liberal (Madrid)",1,"Persona"
"El Lissauer",1,"Persona"
"El Mercurio de Barcelona",1,"Persona"
"El Paje Azul",1,"Persona"
"El Señor X",1,"Persona"
"El suscrito",1,"Persona"
"El Tiempo",1,"Persona"
"Eliot, Thomas Stearns",1,"Persona"
"English Review",1,"Persona"
"Epstein, Jean",1,"Persona"
"Escallón M., Carlos",1,"Persona"
"Escallón, Rafael",1,"Persona"
"Escobar G., Arturo",1,"Persona"
"Escobar Isaza, Roberto",1,"Persona"
"Escobar Larrazábal, Melitón",11,"Persona"
"Escobar Padilla, Cenón",1,"Persona"
"Escobar Pino, Roberto",6,"Persona"
"Escobar R., Eusebio",1,"Persona"
"Escobar Roa, Rafael",2,"Persona"
"Escobar Rojas, Alfredo",3,"Persona"
"Escobar Rojo, Severo",5,"Persona"
"Escobar Sarmiento, Ricardo",3,"Persona"
"Escobar, Camilo Arturo",4,"Persona"
"Escobar, Felipe S.",1,"Persona"
"Escobar, Francisco",1,"Persona"
"Escobar, Lázaro",1,"Persona"
"Escobar, Mario",3,"Persona"
"Escobar, Pedro Ignacio",7,"Persona"
"Escobar, Samuel",3,"Persona"
"Escovar Gaviria, Gonzalo",13,"Persona"
"Escovar, José María",8,"Persona"
"Esguerra Ortiz, Joaquín",1,"Persona"
"Esguerra, Manuel",2,"Persona"
