NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Lectura Amena,60,"Tejada Córdoba, Benjamín",Creador,B. Tejada Córdoba,Colombia,"Silva, romántico",5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,Lectura Amena,NA,0.6,102-103
Lectura Amena,61,"Silva, José Asunción",Creador,José A. Silva,Colombia,?,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,"Restrepo, Antonio José",NA,0.3,103
Lectura Amena,62,"Silva, José Asunción",Creador,José A. Silva,Colombia,Oratorio,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,103
Lectura Amena,63,"Marín, Abel",Creador,NA,Colombia,José Asunción Silva,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,104
Lectura Amena,64,"Restrepo Restrepo, Antonio María",Creador,AB. Farina,Colombia,J. A. Silva (Fragmento),5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa No Ficción,Fragmento,NA,NA,3.5,104-107
Lectura Amena,65,"Silva, José Asunción",Creador,José A. Silva,Colombia,La calavera,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,108
Lectura Amena,66,"Silva, José Asunción",Creador,José A. Silva,Colombia,Lázaro,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,108
Lectura Amena,67,"Silva, José Asunción",Creador,José A. Silva,Colombia,Carta abierta,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3,109-111
Lectura Amena,68,"Restrepo Restrepo, Antonio María",Creador,AB. Farina,Colombia,El nocturno,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,"Cano, Luis",NA,1,112
Lectura Amena,69,"Silva, José Asunción",Creador,José A. Silva,Colombia,Muertos,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.7,113
Lectura Amena,70,Anónimo,Creador,NA,NA,De todo,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Prosa No Ficción,De Todo,NA,NA,1.3,113-114
Lectura Amena,71,Anónimo,Creador,NA,NA,NA,5 y 6,15 de diciembre de 1904,1904-12-15,No,NA,Español,NA,Publicidad,NA,NA,NA,2,NA
Lectura Amena,72,"Olano, Ricardo",Creador,NA,Colombia,Noél,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.5,115-116
Lectura Amena,73,"Medina, Vicente",Creador,NA,España,Noche-güena,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Poesía,NA,"Cassou, Pedrí Díaz",NA,4,116-120
Lectura Amena,74,"Montoya, Antonio José",Creador,NA,Colombia,Diciembre,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.5,120-121
Lectura Amena,75,"Tejada Córdoba, Benjamín",Creador,B. Tejada Córdoba,Colombia,Mudanzas,7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Poesía,NA,"Rodríguez, Melitón",NA,1.5,122-123
Lectura Amena,76,"Rios de Lamperez, Blanca de los",Creador,NA,España,La noche buena del maestro (Impresión de navidad),7,24 de diciembre de 1904,1904-12-24,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,5.5,123-128
